faithfulness,answer_relevancy,context_precision,context_relevancy,question
1.0,0.42,1.0,0.276,can you explain about this overall document in detailed
0.75,0.104,0.917,0.146,what kind of questions can I ask from this document to a person if they have really read this pdf
1.0,0.57,1.0,0.138,"How can you use the ""Sharing a skill"" approach to create a step-by-step guide for someone who knows nothing about the topic?"
0.733,0.633,,0.242,"How does the color-coded language system work, and what are the different colors used for? What is the ""Two-Step Smart Track"" process, and how can it be applied in real-life situations?"
0.222,0.485,,0.172,my manager is a green person how can I approach him?
0.857,0.721,,0.081,What is a green person?
0.85,0.373,0.583,0.089,explain this pdf
1.0,0.303,0.25,0.214,Directions of campaigns
1.0,0.32,0.917,0.143,I asked about campaigns not templates.
1.0,0.533,,0.207,just give me about campaigns.
1.0,0.721,1.0,0.091,how do I navigate to leads?
1.0,0.481,,0.2,what are the lead catogeries
1.0,0.671,,0.176,What is Instagram automation?
1.0,0.488,0.639,0.107,explain me about this pdf
0.75,0.125,0.833,0.182,explian me about the pdf
1.0,0.625,,0.121,what happens if the payment fails
1.0,0.55,0.5,0.067,How many templates can I have?
1.0,0.543,0.25,0.029,Can my tier be downgraded?
0.0,0.118,0.5,0.75,explain 
1.0,0.517,,0.267,what is this pdf about?
1.0,0.621,0.75,0.111,what happens If my payment fails
0.6,0.802,0.75,0.208,what are the eligibilities to use the wenext meta WhatsApp 
1.0,0.049,,0.143,what questions can I ask from this pdf
1.0,0.892,,0.057,How do I migrate my existing WhatsApp Business App number?
1.0,0.515,,0.27,what questions can I ask from the pdf
1.0,0.317,0.806,0.054,what is the document about
0.964,0.798,1.0,0.154,how to build an AI pdf copilot
1.0,0.46,0.806,0.244,generate a true or false test for me from the pdf
1.0,0.448,0.333,0.043,what to do on Thursday
1.0,0.233,0.75,0.22,what to do on Monday?
1.0,0.449,0.333,0.488,today is Friday what to do today?\
1.0,0.697,0.75,0.133,what happens if a payment fails?
0.333,0.692,,0.062,What is a message template and why do I need one?
1.0,0.68,,0.2,How does automatic tier upgrade work?
0.5,0.369,0.417,0.065,What is a free entry point (FEP) and how does it help?
1.0,0.486,,0.098,What type of phone number can I use?
1.0,0.455,0.917,0.333,give me about pricing summary
1.0,0.269,0.5,0.115,what is official business account?
1.0,0.501,,0.115,Can WeNext send templates on my behalf without me adding a payment method?
1.0,0.625,0.75,0.121,what happens if payment fails?
1.0,0.169,0.0,0.333,what is this pdf about explian?
1.0,0.63,0.75,0.125,What happens if the payment fails?
1.0,0.569,,0.227,what is wenext?
1.0,0.623,0.75,0.121,what happens if my payment fails?
1.0,0.143,,0.176,whats there in this pdf?
0.5,0.345,0.5,0.095,whats in the second pdf
0.875,0.743,,0.172,whats in the wenext_meta pdf explain
0.2,0.659,,0.111,are the 2 pdfs related?
1.0,0.749,,0.0,who is Sachin Tendulkar?
1.0,0.81,,0.0,who is pm of India?
1.0,0.249,0.75,0.3,explain me all the topics in this pdf
0.917,0.55,0.917,0.167,how do transformers work?
0.917,0.706,1.0,0.176,what is self attention? How did it help
1.0,0.68,,0.333,explain me about the transformer architecture
0.667,0.364,,0.211,whats there in this photo give me all the details in it
