question,faithfulness,answer_relevancy,context_precision,context_relevancy,context_recall,answer_correctness
can you explain about this overall document in detailed,1.0,0.42,1.0,0.276,,
what kind of questions can I ask from this document to a person if they have really read this pdf,0.75,0.119,0.917,0.146,,
"How can you use the ""Sharing a skill"" approach to create a step-by-step guide for someone who knows nothing about the topic?",1.0,0.57,1.0,0.069,,
"How does the color-coded language system work, and what are the different colors used for? What is the ""Two-Step Smart Track"" process, and how can it be applied in real-life situations?",0.733,0.633,,0.242,,0.612
my manager is a green person how can I approach him?,0.222,0.485,,0.172,1.0,0.906
What is a green person?,0.857,0.665,,0.081,,
explain this pdf,0.85,0.373,0.583,0.089,,
Directions of campaigns,1.0,0.303,0.25,0.214,,
I asked about campaigns not templates.,1.0,0.321,0.333,0.143,,
just give me about campaigns.,1.0,0.533,,0.207,,
how do I navigate to leads?,1.0,0.721,1.0,0.091,,
what are the lead catogeries,1.0,0.481,,0.2,,
What is Instagram automation?,1.0,0.671,,0.176,,
explain me about this pdf,1.0,0.488,0.639,0.107,,
explian me about the pdf,0.75,0.151,0.833,0.182,,
explain this pdf,0.833,0.163,0.639,0.136,,
what happens if the payment fails,1.0,0.625,,0.121,,
How many templates can I have?,1.0,0.55,,0.067,,0.136
Can my tier be downgraded?,1.0,0.543,0.25,0.029,,
explain ,0.0,0.108,0.5,0.75,,
what is this pdf about?,1.0,0.517,,0.267,,
what happens If my payment fails,1.0,0.621,0.75,0.111,,
what are the eligibilities to use the wenext meta WhatsApp ,0.6,0.802,0.75,0.208,,
what questions can I ask from this pdf,1.0,0.049,,0.143,,
How do I migrate my existing WhatsApp Business App number?,1.0,0.892,,0.057,,
what is this pdf about?,0.333,0.558,1.0,0.075,,
what questions can I ask from the pdf,1.0,0.515,,0.27,,
what is the document about,1.0,0.317,0.806,0.054,1.0,0.571
how to build an AI pdf copilot,0.964,0.798,1.0,0.154,0.769,0.709
generate a true or false test for me from the pdf,1.0,0.46,0.806,0.244,1.0,0.182
what to do on Thursday,1.0,0.448,0.333,0.043,,
what to do on Monday?,1.0,0.261,0.75,0.22,1.0,0.802
today is Friday what to do today?\,1.0,0.449,0.333,0.488,,
what happens if a payment fails?,1.0,0.697,0.75,0.133,,
What is a message template and why do I need one?,0.333,0.692,,0.062,,
How does automatic tier upgrade work?,1.0,0.68,,0.2,1.0,0.952
What is a free entry point (FEP) and how does it help?,0.5,0.369,0.417,0.065,,
What type of phone number can I use?,1.0,0.486,,0.098,,
What is the Official Business Account (green tick)?,1.0,0.822,,0.182,,
give me about pricing summary,1.0,0.455,0.917,0.333,,
What is the Official Business Account (green tick)?,1.0,0.822,,0.182,,
what is official business account?,1.0,0.269,0.5,0.115,,
Can WeNext send templates on my behalf without me adding a payment method?,1.0,0.501,0.25,0.115,,
what happens if payment fails?,1.0,0.625,0.75,0.121,,
Who is the Prime Minister of India?,1.0,0.109,0.0,0.0,,
what is this pdf about explian?,1.0,0.169,0.0,0.333,,
What happens if the payment fails?,1.0,0.63,0.75,0.125,,
what is this pdf about?,0.5,0.561,0.25,0.273,,
who is narendra modi?,1.0,0.112,,0.115,,
what is wenext?,1.0,0.569,,0.227,,
what happens if my payment fails?,1.0,0.623,0.75,0.121,1.0,0.962
whats there in this pdf?,1.0,0.143,,0.176,,
whats in the second pdf,0.5,0.383,0.5,0.095,,
whats in the wenext_meta pdf explain,0.875,0.743,,0.172,,
are the 2 pdfs related?,0.2,0.659,0.0,0.111,0.0,0.911
who is Sachin Tendulkar?,1.0,0.749,,0.0,,
who is pm of India?,1.0,0.81,,0.0,,
explain me all the topics in this pdf,1.0,0.249,0.75,0.4,,
how do transformers work?,0.917,0.55,0.917,0.167,,
what is self attention? How did it help,0.917,0.706,1.0,0.176,,
explain me about the transformer architecture,1.0,0.491,,0.333,,
whats there in this photo give me all the details in it,0.667,0.364,,0.211,,
give me all that is there in this picture,0.4,0.258,0.333,0.154,,
],0.5,0.147,,0.455,,
ok,0.5,0.181,,0.182,1.0,0.804
what happens if the payment fails?,1.0,0.63,1.0,0.16,,
who is virat kohli?,1.0,0.11,,0.074,,
what happens if my payment fails?,1.0,0.69,,0.2,1.0,0.962
who is narendra modi?,1.0,0.112,0.0,0.176,,
